name,rating,number_voted,street,suburb,postcode,lat,lon
"Teatime &amp; Tales, Cafe and Bookshop",83,6,412 Rathdowne Street,Melbourne,3054,-37.787762,144.972397
@ Sea Fish and Chips,14,7,Urban Market Queen Victoria,Melbourne,3000,-37.80368075,144.967346191
A Clockwork Café,71,42,300 Queens Pde,Clifton Hill,3068,-37.788715,144.989853
A Taste of Asia,82,40,191 Lygon Street,Melbourne,3053,-37.801197,144.966675
A Treat of France,86,15,765 Nicholson Street,Carlton North,3054,-37.7813,144.977676
Aaahaar Indian Brasserie,72,11,15 Johnston St,Fitzroy,3065,-37.797886,144.975601
Aahaar Indian Barasserie,73,34,15 Johnston St,Fitzroy,3065,-37.797886,144.975601
Abla's,87,207,109 Elgin St,Carlton,3053,-37.797665,144.971161
Absolute Thai,57,35,651 Nicholson St,Melbourne,3068,-37.784107,144.977142
Aegean,55,9,19 Brunswick St,Fitzroy,3065,-37.807209,144.976807
Afghan Gallery,84,115,327 Brunswick St,Fitzroy,3065,-37.797352,144.978455
Agraba,88,52,63 Errol St North Melbourne,North Melbourne,3051,-37.803638,144.949341
Akari,79,34,177 Brunswick St,Fitzroy,3065,-37.802185,144.977615
Akita Japanese,93,163,Courtney St,Melbourne,3051,-37.799316,144.950623
Al Albero,88,285,354 St Georges Rd,Fitzroy North,3068,-37.779401,144.987376
Albion Hotel,100,2,171 curzon street,North Melbourne,3051,-37.798923,144.948685
Alpha Ouzeri,82,132,342 Brunswick St,Fitzroy,3065,-37.797043,144.978851
Alpino Restaurant,24,37,262 Lygon St,Carlton,3053,-37.800968,144.967056
Amigos,83,84,171 Lygon St,Carlton,3053,-37.801685,144.966599
An Nam,83,36,"359, Brunswick St",Fitzroy,3065,-37.796432,144.978607
Angelo Pasticceria,96,28,757 Nicholson St,Melbourne,3068,-37.781639,144.977615
Animal Orchestra,76,99,163 Grattan St,Carlton,3053,-37.800468,144.963364
Appetite on Errol,60,15,8 Errol Street,North Melbourne,3051,-37.80489,144.949448
Asian Noodle Fitzroy,60,5,25 Best Street,Fitzroy North,3068,-37.783859,144.983047
Atomica Caffé,87,129,268 Brunswick St,Fitzroy,3065,-37.799358,144.978439
Auction Rooms,80,531,107 Errol St,Melbourne,3051,-37.802448,144.949554
Aux Batifolles,94,85,400 Nicholson St,Carlton North,3068,-37.790798,144.976425
Baba House,80,30,34 Errol St,North Melbourne,3051,-37.804349,144.949638
Babka Bakery Café,89,288,358 Brunswick St,Fitzroy,3065,-37.796604,144.978897
Baked Potato Café,66,3,114 Lygon St,Carlton,3053,-37.804268,144.966476
Balti Indian Cafe Restaurant,53,15,126 Lygon St,Carlton,3053,-37.804066,144.966507
Balzari,75,140,130 Lygon St,Carlton,3053,-37.804031,144.966507
Bande à Part,87,66,749 Nicholson St Carlton North,Melbourne,3068,-37.78183,144.977585
Bangkok Rain,91,36,176 Rathdowne St,Carlton,3053,-37.798206,144.970184
Bangla Sweets &amp; Curry Café,69,36,199 Brunswick St,Fitzroy,3065,-37.801418,144.977753
Bar Fred,81,132,797 Nicholson St,Melbourne,3068,-37.780628,144.977783
Bar Nothing,52,23,16 Pigdon St,Carlton North,3054,-37.782459,144.97731
Baretto Espresso Bar,84,13,Alan Gilbert Building Grattan St,Carlton,3053,-37.800755,144.967163
Beans &amp; Bagels,86,30,121 Johnston St,Fitzroy,3065,-37.79821,144.978653
Beatbox Kitchen,94,58,Corner Of Rathdowne And Park St Carlton North,Carlton North,3054,-37.789223,144.971863
Bella Napoli Pizza &amp; Bistro,84,19,356 Queens Parade,Clifton Hill,3068,-37.788059,144.99147
Bella Roma,91,12,60 Johnston St,Fitzroy,3065,-37.798252,144.976715
Big Harvest,93,16,151 Elgin St,Carlton,3053,-37.797516,144.969757
Bigmama's,91,81,466 swanston st,Melbourne,3053,-37.806007,144.963165
Bimbo Deluxe,84,422,376 Brunswick St,Fitzroy,3065,-37.796116,144.978989
Birdie Num Nums,52,97,745 Nicholson St,Carlton North,3068,-37.781906,144.97757
Bistro Flor,88,71,555 Nicholson St,Melbourne,3068,-37.786366,144.97673
Bistro Two Dozen,96,81,180 Rathdowne Street,Carlton,3053,-37.798203,144.970184
Bite,100,1,Urban Market Qv,Melbourne,3000,-37.80368075,144.967346191
Black Cat,94,35,252 Brunswick St,Fitzroy,3065,-37.799934,144.978333
Black Pearl,86,37,304 Brunswick St,Fitzroy,3065,-37.798111,144.978653
Black Ruby,78,78,344 Rathdowne St,Carlton North,3054,-37.790646,144.971939
Blue Chillies,86,123,182 Brunswick St,Fitzroy,3065,-37.802059,144.977966
Blues Bar &amp; Grill,75,4,701 Swanston st,Melbourne,3053,-37.801647,144.963593
Borsari Ristorante,71,42,201 Lygon St,Carlton,3053,-37.800838,144.966736
Bottegon,93,15,"1-5 Rae Street, North Fitzroy",Melbourne,3068,-37.7927103,144.9782541
Bouverie Deli,71,7,154 Bouverie Street,Carlton,3053,-37.801105,144.962524
Boxunch,66,6,Urban Market,Melbourne,3000,-37.80368075,144.967346191
Brandon Hotel,94,17,237 Station St,Carlton North,3054,-37.791443,144.974838
